PTC Loader version 1.6.5_TEST2
MSG| Button             | 2015-10-15 06:49:00:173| Start server button has pressed
COM| 0.0.0.0            | 2015-10-15 06:49:00:286| TCP monitor started.
COM| 10.255.255.100:10010| 2015-10-15 06:49:00:322| UDP monitor started.
MSG| 10.255.255.10      | 2015-10-15 06:49:34:648| UDP read event, num of bytes read 46
COM| 10.255.255.10      | 2015-10-15 06:49:34:651| UDP client added to the list of active clients with IP address: 10.255.255.10
MSG| 0.0.0.0:12345      | 2015-10-15 06:49:34:654| client_timer_CB_for_link_test started
TRS| 10.255.255.10:10010| 2015-10-15 06:49:34:658| UDP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:34:660| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:34:662| linux
TRS| 10.255.255.10:10010| 2015-10-15 06:49:34:664| SendFileInfo Name:packages.txt
COM| 0.0.0.0:12345      | 2015-10-15 06:49:34:675| TCP client added to the list of active clients with the IP address: 10.255.255.10
MSG| 10.255.255.10:56109| 2015-10-15 06:49:34:678| client_timer_CB_for_sw_ver started
COM| 10.255.255.10:56109| 2015-10-15 06:49:34:680| TCP client connection accepted IP address: 10.255.255.1056109
MSG| 10.255.255.10:56109| 2015-10-15 06:49:34:683| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:34:686| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:34:689| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:34:692| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:34:694| SendFileInfo Name:packages.txt
MSG| 10.255.255.10:56109| 2015-10-15 06:49:34:773| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:34:776| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:34:780| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:34:981| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:34:984| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:35:107| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:35:111| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:114| SendFileInfo Name:ACP_EAB_ts_guide.cfg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:119| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:123| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:127| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:331| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:334| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:35:343| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:35:347| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:349| SendFileInfo Name:ACP_ILC_ts_guide.cfg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:353| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:358| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:361| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:561| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:564| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:35:566| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:35:568| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:570| SendFileInfo Name:amixer-w1-u1204.i686.zpkg
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:695| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:891| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:894| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:35:897| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:35:899| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:902| SendFileInfo Name:app.cdu_lru_manager.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:905| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:908| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:912| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:915| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:35:919| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:922| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:35:925| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:121| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:124| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:36:127| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:36:129| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:131| SendFileInfo Name:app.cdu_triplex_manager.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:135| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:138| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:142| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:145| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:150| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:153| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:157| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:351| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:354| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:36:358| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:36:360| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:363| SendFileInfo Name:app.diagnostics.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:367| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:370| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:374| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:378| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:383| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:386| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:389| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:393| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:397| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:400| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:403| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:602| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:605| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:36:608| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:36:610| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:612| SendFileInfo Name:app.diag_server.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:616| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:618| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:622| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:625| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:629| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:839| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:845| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:36:848| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:36:852| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:855| SendFileInfo Name:app.mdm_client_master.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:860| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:863| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:867| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:871| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:877| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:880| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:884| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:887| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:892| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:895| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:899| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:902| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:906| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:102| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:106| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:37:110| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:37:113| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:115| SendFileInfo Name:app.mdm_client_slave.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:119| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:123| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:128| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:131| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:135| TCP file data request received from IP address: 10.255.255.10
